Query,Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
accident,BeamNG-FUN,Train Accidents | BeamNG.drive,"For the first time, a working train is available in the BeamNG.drive sandbox simulation game. This video tests the train against various vehicles and objects ...",AzrZ1pepEjM,なんで機関車がプルンプルンしてるんだよwww,Ugy9qJRWwwaOKON90K94AaABAg,426,591
accident,BeamNG-FUN,Train Accidents | BeamNG.drive,"For the first time, a working train is available in the BeamNG.drive sandbox simulation game. This video tests the train against various vehicles and objects ...",AzrZ1pepEjM,😂😂😂,UgyB6NHs5fhJqGN3Yb94AaABAg,0,2
accident,BeamNG-FUN,Train Accidents | BeamNG.drive,"For the first time, a working train is available in the BeamNG.drive sandbox simulation game. This video tests the train against various vehicles and objects ...",AzrZ1pepEjM,Nwt,UgzXsmFK6ikprOLL__h4AaABAg,0,0
accident,BeamNG-FUN,Train Accidents | BeamNG.drive,"For the first time, a working train is available in the BeamNG.drive sandbox simulation game. This video tests the train against various vehicles and objects ...",AzrZ1pepEjM,HSV.   Cricket. Hamburg,UgwoCYHObivdHh-NnYp4AaABAg,0,1
accident,BeamNG-FUN,Train Accidents | BeamNG.drive,"For the first time, a working train is available in the BeamNG.drive sandbox simulation game. This video tests the train against various vehicles and objects ...",AzrZ1pepEjM,Merhaba benim adim Fuat,UgyRSGTkKRQMZdPIn7V4AaABAg,0,2
accident,BeamNG-FUN,Train Accidents | BeamNG.drive,"For the first time, a working train is available in the BeamNG.drive sandbox simulation game. This video tests the train against various vehicles and objects ...",AzrZ1pepEjM,That’s some jiggly train,UgyjPJoU3porx5yk8w94AaABAg,0,10
accident,BeamNG-FUN,Train Accidents | BeamNG.drive,"For the first time, a working train is available in the BeamNG.drive sandbox simulation game. This video tests the train against various vehicles and objects ...",AzrZ1pepEjM,This is literally the best video ever,UgyDNRgDolu5WnpGzD14AaABAg,0,1
accident,BeamNG-FUN,Train Accidents | BeamNG.drive,"For the first time, a working train is available in the BeamNG.drive sandbox simulation game. This video tests the train against various vehicles and objects ...",AzrZ1pepEjM,Is just me who makes train sounds while watching this?,UgzzGN8zUOu6Aw630tp4AaABAg,1,4
accident,BeamNG-FUN,Train Accidents | BeamNG.drive,"For the first time, a working train is available in the BeamNG.drive sandbox simulation game. This video tests the train against various vehicles and objects ...",AzrZ1pepEjM,P I have,UgzQPqD4HbJqqrWv7DZ4AaABAg,0,0
accident,BeamNG-FUN,Train Accidents | BeamNG.drive,"For the first time, a working train is available in the BeamNG.drive sandbox simulation game. This video tests the train against various vehicles and objects ...",AzrZ1pepEjM,L,UgwOf_WUcsaFyk7gU0t4AaABAg,0,5
